sku,title,description,quantity,price,images,brand,status,sale_state,featured,staff_pick,limited_edition,show_in_featured,show_in_coming_soon,show_in_staff_picks,show_in_limited_editions,out_of_stock,release_at,drop_date,released_date,show_in_new_releases,show_in_featured_while_coming_soon,purchase_cost,shipping_cost,total_cost,purchase_date,supplier,tracking_number,weight,length,width,height,profit_per_unit,total_inventory_value,potential_profit
IF_9223B4D0,POP MART Labubu Wacky Mart Series Vinyl Plush Hanging Card,100% Authentic POP MART Labubu Wacky Mart Series Vinyl Plush Hanging Card - Brand new factory sealed in original packaging - Official Pop Mart product not sold in U.S. stores - Cute Labubu pendant made of soft vinyl approximately 7 inches tall - Exclusive release from the Wacky Mart series perfect for fans of The Monsters and Pop Mart collectors,5,160,/uploads/products/1756085121995_df40r2.HEIC,Pop Mart,live,LIVE,true,true,false,false,false,false,false,false,,,,false,false,0,0,0,,,,2,9,6,6,160,0,800
IF_FACE0CEA,Pop Mart Labubu The Monsters Big into Energy Crystal Ball 6 Blind Box,Complete set of Labubu Crystal Ball figures from the Asia Exclusive release by Pop Mart. 100% authentic - All colors included brand new and 100% authentic - Each figure comes in original packaging,1,160,"/uploads/products/1755753481871_1b6njg.jpeg, /uploads/products/1755753486914_ee2gal.jpeg, /uploads/products/1755753489902_ds4of0.jpeg, /uploads/products/1755753493961_qlfnnk.jpeg, /uploads/products/1755753497003_lcltr0.JPG",Pop Mart,live,LIVE,false,false,false,true,false,false,false,false,,,,false,false,0,0,0,,,,0.3,4,3,5,160,0,160
IF_28CB01DA,POP MART Disney Mickey and Friends Family Cute Together Figure Set,100% Authentic POP MART x Disney Mickey and Friends Family Cute Together Set - Brand new factory sealed collection of 8 adorable figures - Highly detailed vinyl figures perfect for Disney fans and collectors,6,230,"/uploads/products/1755753514823_g37ef9.jpg,/uploads/products/1755753517866_q0j1pd.jpg,/uploads/products/1755753521257_8rm9qm.jpg",Disney,coming-soon,PREVIEW,false,false,false,false,false,false,false,false,2025-08-29T11:00,2025-08-29T11:00,,false,false,,,,,,,,,,,,,
IF_AF2FDE13,PopMart Labubu Forest Fairy Tale Series Vinyl Plush China Exclusive,This authentic Forest Fairy Tale Labubu is a rare China-exclusive release from Pop Mart perfect for dedicated collectors. 100% Authentic - Forest Fairy Tale series China exclusive - Unopened box and inner packaging fully intact - Comes with exclusive Labubu storage bag,18,140,/uploads/products/1755753541755_c58x3m.HEIC,Pop Mart,live,LIVE,false,false,true,true,false,false,false,false,,,,false,false,0,0,0,,,,0.3,4,3,5,140,0,2520
IF_23CB7D69,2025 SKULLPANDA SHANGHAI SIEGE AND CONFINEMENT US SELLER,Get your hands on the highly sought-after Skullpanda Siege and Confinement Hanger Card a limited release from the 2025 Shanghai exhibition. This figure comes sealed and features Pop Mart official QR code for authenticity verification,5,130,"https://i.frg.im/XnLE00Uy/406076050752-0.jpg,https://i.frg.im/krku0uLJ/406076050752-1.jpg",Pop Mart,live,LIVE,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
IF_EB0C6000,POP MART Labubu Tempura Shrimp Wacky Mart Earphone Holder Authentic US Seller,Authentic POP MART Labubu Tempura Shrimp Earphone Holder. Adorable design that fits most wireless earphone cases.,10,60,/uploads/products/1755753560383_k3lia7.jpg,Pop Mart,coming-soon,PREVIEW,false,false,false,false,false,false,false,false,2025-08-28T11:00,2025-08-28T11:00,,false,false,,,,,,,,,,,,,
dgfhdfgsdgsdf,POP MART Hacipupu Gummy Bear Blind Box,"Add some sweet charm to your collection with the Hacipupu Gummy Bear series by POP MART! (SCENTED!)

Each figure is full of personality, pastel vibes, and collectible magic. (Blueberry, Cherry, Pineapple Available)

🧸 Details:

100% Authentic POP MART

Opened from the bottom only to verify character

Never displayed or used — stored safely right after unboxing",2,180,/uploads/products/1756085501217_ezy5e6.WEBP,,live,PREVIEW,false,false,false,false,true,false,false,false,,,,false,false,0,0,0,,,,5,12,6,5,,,
angellll,POPMART ANGEL IN CLOUDS Vinyl Face Doll,"Soft and dreamy, this Labubu figure captures a celestial vibe with delicate cloud details and angelic wings. A whimsical addition to any collection, it brings a touch of serenity and fantasy—perfect for display or gifting to fellow Pop Mart fans.

SIZE: 33 × 25 × 58 cm / 12.99 × 9.84 × 22.83 in
",5,400,"/uploads/products/1756085977540_qt28z2.png, /uploads/products/1756085984214_liepnw.png, /uploads/products/1756085987335_nocl7q.png, /uploads/products/1756085991360_p3po31.png",,live,PREVIEW,false,false,false,false,false,false,false,false,,,,false,false,0,0,0,,,,0.35,16,16,16,,,
gdcsdfsd,POP MART The Monsters Wacky Mart Series Fragrance Blind Box Set,"Wacky Mart Series Fragrance Blind Box

- 🎁 Brand‑new, factory‑sealed Wacky Mart fragrance blind box

- ✅ Official Pop Mart ""The Monsters"" merchandise – genuine item",2,250,/uploads/products/1756086521967_pjse3u.png,,live,PREVIEW,false,false,false,false,false,false,false,false,,,,false,false,0,0,0,,,,5,12,12,12,,,
beeberg23553,Bikini Bottom Buddies Set," Bikini Bottom Buddies Whimsical Plush Set – Bring the magic of the ocean to your collection! This complete set includes every character from the series, soft and full of personality. Perfect for fans and collectors who want the full lineup in one go.",4,190,"/uploads/products/1756094536339_wqb2ky.png, /uploads/products/1756094544041_40ua1m.png",,live,PREVIEW,false,false,false,false,false,false,false,false,,,,false,false,0,0,0,,,,3,12,6,5,,,
